Campaign_Budget,Ad_Click_Rate,Conversion_Rate,Social_Media_Followers,Email_Open_Rate,Customer_Retention_Rate,Platform,Campaign_Type,Target_Audience,Region
46006.49,5.15,5.49,315286.0,47.46,86.36,Facebook,Lead Generation,Gen X,North America
47939.21,3.22,7.72,167070.0,58.76,52.3,LinkedIn,Lead Generation,Gen Z,South America
63614.09,7.99,1.58,313497.0,23.15,57.98,Facebook,Sales Promotion,Gen X,South America
17164.27,7.99,9.96,193905.0,46.7,55.7,Facebook,Brand Awareness,Boomers,Europe
57919.3,9.61,0.61,252892.0,16.53,83.19,Facebook,Brand Awareness,Gen Z,Asia
21889.82,4.33,2.96,313668.0,54.08,94.09,LinkedIn,Sales Promotion,Boomers,Africa
64006.93,5.67,3.08,453157.0,74.98,99.36,Instagram,Content Marketing,Gen Z,Europe
26493.99,7.82,2.3,282937.0,76.85,92.77,LinkedIn,Sales Promotion,Gen X,Africa
48557.05,2.04,2.83,312624.0,55.08,80.99,Twitter,Brand Awareness,Millennials,Europe
17332.25,3.67,6.77,99089.0,69.28,59.34,Facebook,Content Marketing,Boomers,North America
56567.7,9.51,2.45,148966.0,48.28,51.78,Facebook,Content Marketing,Boomers,Africa
41970.19,5.82,5.12,146276.0,21.84,99.47,Instagram,Content Marketing,Gen Z,South America
36701.51,7.28,2.64,74970.0,13.76,54.01,Google Ads,Brand Awareness,Boomers,North America
63558.12,3.26,3.5,168965.0,55.48,73.4,Twitter,Lead Generation,Gen X,South America
74619.53,0.55,7.18,170267.0,72.78,81.83,Instagram,Lead Generation,Boomers,Europe
64740.57,6.03,1.71,250860.0,40.09,59.27,Twitter,Content Marketing,Gen Z,North America
30859.46,3.59,9.04,105909.0,10.62,78.96,LinkedIn,Brand Awareness,Millennials,Africa
39252.93,1.04,1.98,106464.0,53.34,80.88,Twitter,Brand Awareness,Boomers,South America
63403.79,2.61,8.88,201949.0,20.91,94.89,Google Ads,Content Marketing,Millennials,South America
79994.63,1.49,5.71,369146.0,69.08,69.52,Instagram,Brand Awareness,Millennials,Africa
12841.48,9.9,4.86,399978.0,58.88,58.86,Facebook,Lead Generation,Boomers,Africa
97078.85,8.79,6.64,211878.0,25.95,85.35,Twitter,Sales Promotion,Millennials,North America
65990.79,6.39,9.04,385753.0,10.12,58.68,Twitter,Content Marketing,Gen X,North America
25112.72,5.21,8.54,115869.0,59.5,68.41,LinkedIn,Sales Promotion,Millennials,Africa
39302.88,1.63,9.21,65672.0,64.39,97.15,LinkedIn,Content Marketing,Gen Z,Asia
54859.36,2.81,7.73,192966.0,79.71,50.55,Twitter,Brand Awareness,Gen X,Asia
43247.53,6.26,1.37,355648.0,67.93,92.43,Google Ads,Sales Promotion,Gen X,North America
51656.35,5.49,7.68,375844.0,60.87,73.23,Instagram,Content Marketing,Millennials,Asia
47724.41,9.33,1.87,158472.0,24.65,87.04,Twitter,Sales Promotion,Boomers,South America
40007.97,5.7,1.04,169423.0,46.19,97.93,Instagram,Brand Awareness,Boomers,Africa
51776.34,4.68,7.02,267272.0,75.69,74.89,LinkedIn,Content Marketing,Gen X,Asia
57420.85,6.74,5.05,322118.0,40.88,95.9,LinkedIn,Content Marketing,Millennials,North America
24384.82,5.08,8.82,366160.0,44.52,57.05,Google Ads,Lead Generation,Gen X,Asia
67404.44,4.27,0.68,143961.0,65.27,94.35,LinkedIn,Lead Generation,Boomers,Europe
66854.27,9.13,8.27,263957.0,41.08,90.25,Google Ads,Brand Awareness,Millennials,Europe
43094.57,2.72,5.48,320504.0,70.05,52.18,Instagram,Sales Promotion,Millennials,Asia
67012.42,5.28,4.49,347626.0,46.61,67.75,Facebook,Content Marketing,Gen Z,Asia
58582.97,8.74,8.82,189983.0,25.39,81.72,LinkedIn,Sales Promotion,Boomers,North America
29568.13,6.47,0.51,-64639.0,47.0,55.65,Facebook,Sales Promotion,Boomers,Asia
7511.88,1.95,2.05,376918.0,18.62,51.83,Facebook,Lead Generation,Boomers,South America
75001.18,3.77,1.31,321551.0,69.95,85.12,Facebook,Brand Awareness,Gen X,Europe
54356.37,4.99,1.63,198784.0,71.99,60.96,Google Ads,Sales Promotion,Boomers,Africa
80349.31,9.47,6.26,259210.0,14.86,95.39,Google Ads,Brand Awareness,Gen X,Europe
96908.12,5.4,6.63,203534.0,57.13,74.23,Facebook,Lead Generation,Millennials,North America
57494.59,5.56,2.85,146637.0,27.93,56.36,Twitter,Content Marketing,Gen X,Asia
51427.95,7.04,6.52,335879.0,74.58,92.55,Facebook,Sales Promotion,Boomers,South America
70134.55,2.71,9.86,127888.0,55.96,50.11,Google Ads,Sales Promotion,Boomers,Europe
30752.36,3.16,6.23,259665.0,26.91,72.16,Twitter,Content Marketing,Millennials,South America
24651.43,1.17,0.69,227812.0,23.03,99.37,Facebook,Brand Awareness,Boomers,South America
